lat,lon
5055.49466,01319.74241
5055.49487,01319.74233
5055.49475,01319.74246
5055.49482,01319.74271
5055.49492,01319.74274
5055.49483,01319.74274
5055.49527,01319.74138
5055.49537,01319.74101
5055.49555,01319.74057
5055.49601,01319.74089
5055.49622,01319.74070
5055.49585,01319.74048
5055.49600,01319.74081
5055.49615,01319.74033
5055.49594,01319.74001
5055.49600,01319.73980
5055.49611,01319.73933
5055.49630,01319.73952
5055.49661,01319.73987
5055.49629,01319.73967
5055.49521,01319.73889
5055.49509,01319.73865
5055.49512,01319.73837
5055.49503,01319.73815
5055.49511,01319.73818
5055.49531,01319.73803
5055.49527,01319.73770
5055.49523,01319.73772
5055.49413,01319.73763
5055.49343,01319.73737
5055.49270,01319.73722
