lat,lon
5055.56038,01319.88291
5055.56041,01319.88295
5055.56050,01319.88298
5055.56057,01319.88300
5055.56044,01319.88307
5055.56041,01319.88308
5055.56038,01319.88308
5055.56031,01319.88307
5055.56027,01319.88300
5055.56028,01319.88301
5055.56034,01319.88297
5055.56039,01319.88286
5055.56036,01319.88285
5055.56050,01319.88277
5055.56044,01319.88272
5055.56035,01319.88266
5055.56025,01319.88262
5055.56008,01319.88252
5055.55994,01319.88249
5055.55979,01319.88250
5055.55966,01319.88252
5055.55953,01319.88252
5055.55943,01319.88254
5055.55938,01319.88259
5055.55933,01319.88262
5055.55932,01319.88263
5055.55939,01319.88267
5055.55944,01319.88268
5055.55956,01319.88271
5055.55964,01319.88277
5055.55962,01319.88276
5055.55964,01319.88281
5055.55966,01319.88283
5055.55964,01319.88286
5055.55957,01319.88286
5055.55950,01319.88288
