lat,lon
5055.48528,01319.68301
5055.48525,01319.68297
5055.48527,01319.68313
5055.48549,01319.68320
5055.48566,01319.68309
5055.48567,01319.68331
5055.48519,01319.68395
5055.48496,01319.68425
5055.48494,01319.68420
5055.48507,01319.68395
5055.48531,01319.68398
5055.48556,01319.68389
5055.48562,01319.68397
5055.48580,01319.68424
5055.48573,01319.68419
5055.48571,01319.68440
5055.48594,01319.68384
5055.48615,01319.68367
5055.48624,01319.68383
5055.48633,01319.68409
5055.48630,01319.68385
5055.48610,01319.68331
5055.48599,01319.68323
5055.48583,01319.68312
5055.48573,01319.68304
