lat,lon
5055.50596,01319.85020
5055.50573,01319.84992
5055.50546,01319.84989
5055.50546,01319.85000
5055.50544,01319.85008
5055.50526,01319.85002
5055.50514,01319.85006
5055.50465,01319.85038
5055.50437,01319.85034
5055.50390,01319.85048
5055.50372,01319.85028
5055.50337,01319.85010
5055.50328,01319.84998
5055.50339,01319.85002
5055.50324,01319.84998
5055.50310,01319.84989
5055.50297,01319.84985
5055.50278,01319.84969
5055.50271,01319.84979
5055.50257,01319.84970
5055.50244,01319.85002
5055.50238,01319.85040
5055.50254,01319.85074
5055.50251,01319.85115
5055.50250,01319.85255
