lat,lon
5055.48064,01319.87626
5055.48051,01319.87642
5055.48044,01319.87663
5055.48034,01319.87657
5055.48028,01319.87640
5055.48020,01319.87634
5055.48013,01319.87626
5055.48009,01319.87638
5055.48001,01319.87636
5055.47993,01319.87642
5055.47984,01319.87650
5055.47977,01319.87654
5055.47974,01319.87659
5055.47967,01319.87665
5055.47962,01319.87658
5055.47952,01319.87666
5055.47939,01319.87670
5055.47930,01319.87676
5055.47916,01319.87683
5055.47901,01319.87688
5055.47885,01319.87698
5055.47869,01319.87693
5055.47854,01319.87686
5055.47843,01319.87685
5055.47836,01319.87686
