lat,lon
5055.51015,01319.90623
5055.51006,01319.90594
5055.50989,01319.90562
5055.50974,01319.90544
5055.50951,01319.90507
5055.50924,01319.90453
5055.50895,01319.90398
5055.50866,01319.90369
5055.50855,01319.90341
5055.50864,01319.90313
5055.50850,01319.90306
5055.50846,01319.90271
5055.50832,01319.90234
5055.50822,01319.90210
5055.50804,01319.90160
5055.50795,01319.90141
5055.50796,01319.90135
5055.50790,01319.90113
5055.50790,01319.90097
5055.50792,01319.90089
5055.50783,01319.90083
5055.50785,01319.90061
5055.50771,01319.90028
5055.50758,01319.90016
5055.50750,01319.90004
5055.50773,01319.90003
5055.50772,01319.90022
5055.50756,01319.90015
5055.50769,01319.89971
5055.50770,01319.89941
