lat,lon
5055.43426,01319.89411
5055.43402,01319.89439
5055.43362,01319.89457
5055.43336,01319.89462
5055.43302,01319.89491
5055.43277,01319.89502
5055.43272,01319.89524
5055.43280,01319.89504
5055.43258,01319.89533
5055.43228,01319.89558
5055.43215,01319.89590
5055.43210,01319.89603
5055.43189,01319.89601
5055.43180,01319.89615
5055.43170,01319.89624
5055.43169,01319.89620
5055.43150,01319.89634
5055.43136,01319.89648
5055.43122,01319.89668
5055.43082,01319.89709
5055.43088,01319.89689
5055.43080,01319.89706
5055.43076,01319.89718
5055.43070,01319.89715
5055.43028,01319.89766
5055.43027,01319.89781
5055.43016,01319.89796
5055.43029,01319.89792
5055.42969,01319.89819
5055.42969,01319.89755
