lat,lon
5055.56557,01319.90569
5055.56557,01319.90591
5055.56549,01319.90614
5055.56548,01319.90631
5055.56538,01319.90642
5055.56536,01319.90659
5055.56550,01319.90665
5055.56560,01319.90678
5055.56547,01319.90700
5055.56538,01319.90696
5055.56532,01319.90698
5055.56529,01319.90713
5055.56526,01319.90735
5055.56529,01319.90779
5055.56524,01319.90809
5055.56521,01319.90825
5055.56507,01319.90831
5055.56508,01319.90816
5055.56508,01319.90817
5055.56482,01319.90819
5055.56463,01319.90817
5055.56440,01319.90829
5055.56445,01319.90830
5055.56427,01319.90822
5055.56413,01319.90816
5055.56409,01319.90817
5055.56398,01319.90819
5055.56382,01319.90809
5055.56387,01319.90799
5055.56413,01319.90787
5055.56423,01319.90782
5055.56414,01319.90781
5055.56431,01319.90802
5055.56458,01319.90817
5055.56291,01319.90767
5055.56223,01319.90731
5055.56180,01319.90715
5055.56154,01319.90701
5055.56126,01319.90683
5055.56105,01319.90661
5055.56093,01319.90649
5055.56086,01319.90638
5055.56079,01319.90621
5055.56075,01319.90620
5055.56067,01319.90613
5055.56067,01319.90615
5055.56065,01319.90618
5055.56060,01319.90617
5055.56059,01319.90608
5055.56051,01319.90596
5055.56047,01319.90584
5055.56045,01319.90569
5055.56046,01319.90559
5055.56032,01319.90572
5055.56022,01319.90586
5055.56042,01319.90562
5055.56046,01319.90550
5055.56050,01319.90568
5055.56076,01319.90524
5055.56089,01319.90534
5055.56098,01319.90552
5055.56102,01319.90536
5055.56100,01319.90539
5055.56101,01319.90549
5055.56108,01319.90538
5055.56110,01319.90554
5055.56121,01319.90546
5055.56123,01319.90544
5055.56134,01319.90518
5055.56139,01319.90482
