lat,lon
5055.47080,01319.86821
5055.47071,01319.86816
5055.47063,01319.86785
5055.47050,01319.86759
5055.47024,01319.86747
5055.46993,01319.86733
5055.46988,01319.86754
5055.46981,01319.86751
5055.46977,01319.86762
5055.46972,01319.86778
5055.46942,01319.86762
5055.46936,01319.86760
5055.46926,01319.86744
5055.46902,01319.86752
5055.46871,01319.86758
5055.46851,01319.86765
5055.46834,01319.86747
5055.46836,01319.86775
5055.46841,01319.86786
5055.46835,01319.86788
5055.46822,01319.86787
5055.46818,01319.86798
5055.46817,01319.86789
5055.46826,01319.86777
5055.46822,01319.86773
5055.46814,01319.86770
5055.46807,01319.86761
5055.46797,01319.86752
5055.46780,01319.86730
5055.46753,01319.86740
