lat,lon
5055.54075,01319.94053
5055.54064,01319.94042
5055.54059,01319.94036
5055.54055,01319.94018
5055.54042,01319.94014
5055.54034,01319.94003
5055.54030,01319.93987
5055.54017,01319.93999
5055.54009,01319.93969
5055.54008,01319.93944
5055.54007,01319.93958
5055.54004,01319.93969
5055.54002,01319.93980
5055.54001,01319.94012
5055.54004,01319.94008
5055.54006,01319.93997
5055.53987,01319.94046
5055.53977,01319.94065
5055.53970,01319.94090
5055.53959,01319.94117
5055.53947,01319.94139
5055.53940,01319.94165
5055.53929,01319.94167
5055.53914,01319.94186
5055.53907,01319.94192
5055.53886,01319.94237
5055.53875,01319.94270
5055.53867,01319.94290
5055.53870,01319.94315
5055.53871,01319.94340
5055.53867,01319.94373
5055.53863,01319.94389
5055.53858,01319.94404
5055.53853,01319.94409
5055.53847,01319.94417
