lat,lon
5055.52766,01319.94164
5055.52796,01319.94161
5055.52818,01319.94194
5055.52827,01319.94204
5055.52845,01319.94209
5055.52852,01319.94245
5055.52838,01319.94235
5055.52825,01319.94242
5055.52806,01319.94266
5055.52787,01319.94297
5055.52781,01319.94329
5055.52769,01319.94375
5055.52747,01319.94399
5055.52738,01319.94431
5055.52718,01319.94461
5055.52693,01319.94493
5055.52663,01319.94525
5055.52660,01319.94533
5055.52650,01319.94542
5055.52593,01319.94558
5055.52548,01319.94571
5055.52510,01319.94586
5055.52480,01319.94603
5055.52447,01319.94623
5055.52399,01319.94650
5055.52375,01319.94652
5055.52364,01319.94652
5055.52353,01319.94651
5055.52346,01319.94650
5055.52345,01319.94642
5055.52337,01319.94645
5055.52324,01319.94667
5055.52313,01319.94670
5055.52314,01319.94675
5055.52310,01319.94666
5055.52308,01319.94679
5055.52306,01319.94692
5055.52314,01319.94695
5055.52318,01319.94701
5055.52332,01319.94697
5055.52333,01319.94707
5055.52334,01319.94723
5055.52338,01319.94722
5055.52352,01319.94705
5055.52353,01319.94691
5055.52350,01319.94700
5055.52345,01319.94707
5055.52341,01319.94722
5055.52334,01319.94723
5055.52338,01319.94734
5055.52361,01319.94715
5055.52386,01319.94715
5055.52403,01319.94730
5055.52420,01319.94729
5055.52432,01319.94721
5055.52443,01319.94730
5055.52455,01319.94737
5055.52469,01319.94733
5055.52484,01319.94727
5055.52493,01319.94727
5055.52506,01319.94717
5055.52504,01319.94747
5055.52501,01319.94779
5055.52514,01319.94818
5055.52512,01319.94821
5055.52510,01319.94823
5055.52489,01319.94851
5055.52516,01319.94851
5055.52537,01319.94837
5055.52551,01319.94832
