lat,lon
5055.49885,01319.67631
5055.49907,01319.67615
5055.49945,01319.67654
5055.49971,01319.67666
5055.50010,01319.67683
5055.50046,01319.67675
5055.50081,01319.67674
5055.50123,01319.67679
5055.50167,01319.67650
5055.50185,01319.67625
5055.50208,01319.67607
5055.50215,01319.67585
5055.50234,01319.67581
5055.50248,01319.67568
5055.50253,01319.67562
5055.50268,01319.67538
5055.50278,01319.67544
5055.50290,01319.67557
5055.50299,01319.67555
5055.50309,01319.67552
5055.50324,01319.67534
5055.50339,01319.67528
5055.50341,01319.67513
5055.50336,01319.67506
5055.50345,01319.67504
5055.50347,01319.67484
5055.50327,01319.67491
5055.50341,01319.67499
5055.50366,01319.67457
5055.50396,01319.67447
