lat,lon
5055.43784,01319.87033
5055.43759,01319.87051
5055.43736,01319.87051
5055.43698,01319.87069
5055.43688,01319.87081
5055.43683,01319.87087
5055.43682,01319.87088
5055.43675,01319.87084
5055.43660,01319.87089
5055.43669,01319.87082
5055.43646,01319.87091
5055.43669,01319.87058
5055.43654,01319.87057
5055.43671,01319.87053
5055.43666,01319.87056
5055.43690,01319.87058
5055.43690,01319.87063
5055.43658,01319.87102
5055.43652,01319.87118
5055.43668,01319.87126
5055.43687,01319.87131
5055.43712,01319.87133
5055.43732,01319.87148
5055.43743,01319.87164
5055.43730,01319.87187
5055.43722,01319.87206
5055.43722,01319.87222
5055.43748,01319.87243
5055.43764,01319.87262
5055.43733,01319.87275
