lat,lon
5055.51668,01319.87840
5055.51686,01319.87838
5055.51688,01319.87859
5055.51696,01319.87859
5055.51709,01319.87856
5055.51723,01319.87834
5055.51729,01319.87816
5055.51731,01319.87809
5055.51734,01319.87786
5055.51734,01319.87777
5055.51735,01319.87741
5055.51739,01319.87736
5055.51748,01319.87735
5055.51749,01319.87736
5055.51740,01319.87748
5055.51737,01319.87745
5055.51738,01319.87736
5055.51744,01319.87736
5055.51758,01319.87719
5055.51765,01319.87714
5055.51758,01319.87725
5055.51763,01319.87709
5055.51762,01319.87687
5055.51767,01319.87671
5055.51779,01319.87659
5055.51780,01319.87644
5055.51775,01319.87637
5055.51771,01319.87630
5055.51754,01319.87628
5055.51749,01319.87627
5055.51750,01319.87630
5055.51745,01319.87631
5055.51739,01319.87632
5055.51739,01319.87632
5055.51743,01319.87625
