lat,lon
5055.52006,01319.91779
5055.51982,01319.91804
5055.51969,01319.91832
5055.51975,01319.91853
5055.51989,01319.91861
5055.52004,01319.91867
5055.52023,01319.91886
5055.52042,01319.91880
5055.52063,01319.91886
5055.52073,01319.91874
5055.52080,01319.91875
5055.52080,01319.91870
5055.52087,01319.91881
5055.52089,01319.91889
5055.52089,01319.91894
5055.52092,01319.91903
5055.52098,01319.91910
5055.52104,01319.91924
5055.52106,01319.91934
5055.52110,01319.91942
5055.52105,01319.91949
5055.52109,01319.91960
5055.52111,01319.91964
5055.52093,01319.91984
5055.52101,01319.91979
5055.52106,01319.91983
5055.52114,01319.91987
5055.52128,01319.91980
5055.52137,01319.91978
5055.52155,01319.91969
