lat,lon
5055.52862,01319.92611
5055.52864,01319.92616
5055.52866,01319.92628
5055.52864,01319.92640
5055.52855,01319.92646
5055.52849,01319.92659
5055.52850,01319.92653
5055.52861,01319.92645
5055.52863,01319.92642
5055.52867,01319.92643
5055.52876,01319.92671
5055.52879,01319.92689
5055.52878,01319.92700
5055.52880,01319.92712
5055.52881,01319.92725
5055.52882,01319.92728
5055.52874,01319.92796
5055.52875,01319.92809
5055.52880,01319.92817
5055.52879,01319.92824
5055.52876,01319.92834
5055.52883,01319.92833
5055.52894,01319.92835
5055.52910,01319.92835
5055.52915,01319.92823
5055.52919,01319.92828
