lat,lon
5055.45268,01319.74803
5055.45254,01319.74823
5055.45232,01319.74828
5055.45219,01319.74832
5055.45212,01319.74826
5055.45198,01319.74826
5055.45180,01319.74825
5055.45166,01319.74817
5055.45157,01319.74806
5055.45139,01319.74820
5055.45131,01319.74800
5055.45110,01319.74797
5055.45081,01319.74732
5055.45037,01319.74754
5055.45016,01319.74709
5055.45006,01319.74666
5055.44989,01319.74633
5055.44973,01319.74623
5055.44967,01319.74606
5055.44965,01319.74589
5055.44982,01319.74588
5055.44992,01319.74555
5055.45005,01319.74525
5055.45020,01319.74492
5055.45028,01319.74501
5055.45038,01319.74525
5055.45033,01319.74488
5055.45020,01319.74464
5055.45009,01319.74469
5055.45000,01319.74461
