lat,lon
5055.46475,01319.84967
5055.46451,01319.84950
5055.46427,01319.85008
5055.46422,01319.85003
5055.46449,01319.84988
5055.46479,01319.84953
5055.46487,01319.84955
5055.46491,01319.84953
5055.46521,01319.84942
5055.46502,01319.84962
5055.46490,01319.84973
5055.46472,01319.84993
5055.46440,01319.85033
5055.46432,01319.85034
5055.46415,01319.85048
5055.46422,01319.85003
5055.46425,01319.84981
5055.46421,01319.84986
5055.46417,01319.84966
5055.46438,01319.84915
5055.46457,01319.84927
5055.46455,01319.84951
5055.46445,01319.84964
5055.46414,01319.84997
5055.46391,01319.85005
5055.46397,01319.84983
5055.46407,01319.84940
5055.46386,01319.84931
5055.46382,01319.85002
5055.46375,01319.84993
