lat,lon
5055.44919,01319.83388
5055.44883,01319.83372
5055.44859,01319.83372
5055.44847,01319.83386
5055.44851,01319.83400
5055.44858,01319.83382
5055.44863,01319.83377
5055.44866,01319.83366
5055.44875,01319.83383
5055.44876,01319.83370
5055.44871,01319.83376
5055.44872,01319.83380
5055.44855,01319.83328
5055.44863,01319.83296
5055.44862,01319.83283
5055.44845,01319.83271
5055.44846,01319.83262
5055.44860,01319.83269
5055.44867,01319.83256
5055.44858,01319.83240
5055.44854,01319.83273
5055.44849,01319.83258
5055.44845,01319.83252
5055.44878,01319.83252
5055.44893,01319.83267
5055.44876,01319.83248
5055.44843,01319.83212
5055.44824,01319.83244
5055.44824,01319.83259
5055.44809,01319.83249
