lat,lon
5125.23512,01323.42561
5125.23510,01323.42588
5125.23570,01323.42497
5125.23651,01323.42442
5125.23576,01323.42560
5125.23490,01323.42722
5125.23646,01323.42870
5125.23673,01323.43008
5125.23697,01323.43060
5125.23719,01323.43152
5125.23779,01323.43269
5125.23767,01323.43335
5125.23712,01323.43351
5125.23700,01323.43408
5125.23689,01323.43452
5125.23679,01323.43460
5125.23713,01323.43457
5125.23739,01323.43495
5125.23756,01323.43521
5125.23767,01323.43530
5125.23839,01323.43549
5125.23887,01323.43519
5125.23968,01323.43479
5125.24021,01323.43444
5125.24067,01323.43443
5125.24119,01323.43433
5125.24176,01323.43397
5125.24248,01323.43349
5125.24315,01323.43277
5125.24385,01323.43192
5125.24439,01323.43117
5125.24523,01323.43033
5125.24595,01323.42955
5125.24654,01323.42851
5125.24713,01323.42764
5125.24739,01323.42712
5125.24788,01323.42640
5125.24848,01323.42573
5125.24900,01323.42493
5125.24945,01323.42423
5125.24996,01323.42377
5125.25055,01323.42289
5125.25125,01323.42216
5125.25197,01323.42136
5125.25262,01323.42063
5125.25330,01323.41979
5125.25412,01323.41854
5125.25487,01323.41778
5125.25549,01323.41722
5125.25583,01323.41659
5125.25617,01323.41573
5125.25664,01323.41467
5125.25717,01323.41379
5125.25783,01323.41281
5125.25831,01323.41183
5125.25879,01323.41089
5125.25941,01323.40997
5125.25997,01323.40873
5125.26031,01323.40776
5125.26065,01323.40667
5125.26104,01323.40576
5125.26158,01323.40479
5125.26213,01323.40387
5125.26273,01323.40310
5125.26333,01323.40219
5125.26396,01323.40128
5125.26462,01323.40044
5125.26538,01323.39958
5125.26611,01323.39887
5125.26681,01323.39820
5125.26745,01323.39727
5125.26830,01323.39634
5125.26946,01323.39484
5125.27021,01323.39366
5125.27073,01323.39272
5125.27127,01323.39168
5125.27171,01323.39076
5125.27223,01323.38965
5125.27273,01323.38873
5125.27325,01323.38785
5125.27375,01323.38699
5125.27432,01323.38613
5125.27500,01323.38527
5125.27550,01323.38437
5125.27603,01323.38347
5125.27654,01323.38259
5125.27695,01323.38169
5125.27740,01323.38088
5125.27788,01323.38010
5125.27849,01323.37910
5125.27907,01323.37788
5125.27948,01323.37702
5125.27995,01323.37607
5125.28043,01323.37511
5125.28101,01323.37407
5125.28166,01323.37311
5125.28230,01323.37222
5125.28297,01323.37126
5125.28346,01323.37037
5125.28398,01323.36948
5125.28463,01323.36842
5125.28498,01323.36738
5125.28550,01323.36641
5125.28583,01323.36536
5125.28628,01323.36428
5125.28702,01323.36344
5125.28795,01323.36251
5125.28862,01323.36164
5125.28932,01323.36061
5125.28993,01323.35963
5125.29046,01323.35880
5125.29089,01323.35789
5125.29142,01323.35696
5125.29198,01323.35597
5125.29257,01323.35496
5125.29311,01323.35405
5125.29372,01323.35319
5125.29435,01323.35231
5125.29503,01323.35143
5125.29599,01323.35045
5125.29685,01323.34947
5125.29758,01323.34848
5125.29828,01323.34755
5125.29879,01323.34669
5125.29926,01323.34582
5125.29968,01323.34497
5125.30017,01323.34403
5125.30052,01323.34291
5125.30105,01323.34180
5125.30178,01323.34069
5125.30242,01323.33974
5125.30302,01323.33883
5125.30352,01323.33791
5125.30411,01323.33715
5125.30471,01323.33647
5125.30531,01323.33557
5125.30592,01323.33468
5125.30651,01323.33403
5125.30704,01323.33319
5125.30741,01323.33230
5125.30793,01323.33128
5125.30847,01323.33033
5125.30909,01323.32933
5125.30959,01323.32833
5125.31036,01323.32728
5125.31116,01323.32633
5125.31183,01323.32545
5125.31256,01323.32451
5125.31339,01323.32375
5125.31413,01323.32290
5125.31485,01323.32192
5125.31541,01323.32091
5125.31602,01323.31990
5125.31664,01323.31893
5125.31726,01323.31794
5125.31784,01323.31704
5125.31838,01323.31616
5125.31894,01323.31534
5125.31937,01323.31461
5125.31981,01323.31384
5125.32062,01323.31308
5125.32135,01323.31233
5125.32212,01323.31148
5125.32279,01323.31046
5125.32353,01323.30947
5125.32408,01323.30839
5125.32490,01323.30730
5125.32565,01323.30617
5125.32631,01323.30517
5125.32699,01323.30410
5125.32769,01323.30299
5125.32840,01323.30192
5125.32896,01323.30099
5125.32948,01323.30005
5125.32996,01323.29899
5125.33044,01323.29792
5125.33105,01323.29669
5125.33130,01323.29535
5125.33165,01323.29412
5125.33207,01323.29299
5125.33255,01323.29203
5125.33285,01323.29107
5125.33310,01323.28989
5125.33333,01323.28869
5125.33392,01323.28739
5125.33426,01323.28630
5125.33447,01323.28520
5125.33480,01323.28414
5125.33509,01323.28323
5125.33542,01323.28228
5125.33573,01323.28111
5125.33604,01323.27988
5125.33640,01323.27890
5125.33659,01323.27800
5125.33690,01323.27684
5125.33723,01323.27575
5125.33755,01323.27475
5125.33804,01323.27377
5125.33859,01323.27268
5125.33915,01323.27162
5125.33966,01323.27065
5125.33991,01323.26982
5125.34029,01323.26888
5125.34087,01323.26788
5125.34155,01323.26706
5125.34207,01323.26634
5125.34267,01323.26559
5125.34338,01323.26465
5125.34386,01323.26396
5125.34486,01323.26291
5125.34577,01323.26218
5125.34667,01323.26112
5125.34736,01323.26033
5125.34801,01323.25964
5125.34849,01323.25913
5125.34887,01323.25858
5125.34929,01323.25791
5125.34975,01323.25709
5125.35020,01323.25649
5125.35081,01323.25577
5125.35124,01323.25496
5125.35181,01323.25403
5125.35244,01323.25319
5125.35323,01323.25231
5125.35394,01323.25161
5125.35446,01323.25090
5125.35507,01323.25016
5125.35566,01323.24930
5125.35635,01323.24851
5125.35709,01323.24756
5125.35762,01323.24672
5125.35834,01323.24590
5125.35883,01323.24516
5125.35928,01323.24428
5125.35982,01323.24338
5125.36055,01323.24246
5125.36117,01323.24160
5125.36192,01323.24081
5125.36264,01323.23993
5125.36329,01323.23899
5125.36397,01323.23807
5125.36450,01323.23715
5125.36504,01323.23622
5125.36555,01323.23521
5125.36615,01323.23414
5125.36665,01323.23317
5125.36726,01323.23224
5125.36814,01323.23123
5125.36880,01323.23021
5125.36934,01323.22930
5125.36991,01323.22835
5125.37052,01323.22763
5125.37126,01323.22709
5125.37202,01323.22648
5125.37287,01323.22600
5125.37380,01323.22548
5125.37451,01323.22498
5125.37525,01323.22433
5125.37609,01323.22364
5125.37690,01323.22308
5125.37763,01323.22262
5125.37839,01323.22212
5125.37925,01323.22166
5125.38004,01323.22117
5125.38075,01323.22066
5125.38141,01323.22015
5125.38193,01323.21932
5125.38264,01323.21881
5125.38332,01323.21841
5125.38422,01323.21790
5125.38514,01323.21757
5125.38596,01323.21721
5125.38691,01323.21682
5125.38787,01323.21645
5125.38878,01323.21594
5125.38962,01323.21541
5125.39052,01323.21507
5125.39137,01323.21467
5125.39212,01323.21413
5125.39283,01323.21363
5125.39364,01323.21321
5125.39441,01323.21282
5125.39518,01323.21255
5125.39605,01323.21234
5125.39681,01323.21231
5125.39765,01323.21218
5125.39852,01323.21193
5125.39946,01323.21179
5125.40036,01323.21170
5125.40127,01323.21133
5125.40209,01323.21087
5125.40279,01323.21042
5125.40343,01323.20998
5125.40390,01323.20943
5125.40446,01323.20906
5125.40537,01323.20887
5125.40609,01323.20857
5125.40707,01323.20847
5125.40794,01323.20843
