lat,lon
5125.21779,01323.43011
5125.21785,01323.43010
5125.21781,01323.43016
5125.21788,01323.43032
5125.21790,01323.43036
5125.21785,01323.43040
5125.21793,01323.43052
5125.21795,01323.43054
5125.21797,01323.43060
5125.21797,01323.43067
5125.21800,01323.43077
5125.21808,01323.43093
5125.21807,01323.43098
5125.21805,01323.43104
5125.21809,01323.43114
5125.21811,01323.43118
5125.21811,01323.43119
5125.21811,01323.43121
5125.21808,01323.43119
5125.21807,01323.43118
5125.21808,01323.43125
5125.21804,01323.43128
5125.21801,01323.43126
5125.21795,01323.43124
5125.21791,01323.43124
5125.21784,01323.43120
5125.21780,01323.43117
5125.21773,01323.43114
5125.21766,01323.43113
5125.21765,01323.43112
5125.21765,01323.43111
5125.21765,01323.43106
5125.21767,01323.43108
5125.21771,01323.43106
5125.21775,01323.43108
5125.21775,01323.43107
5125.21776,01323.43105
5125.21775,01323.43111
5125.21775,01323.43110
5125.21776,01323.43114
5125.21775,01323.43110
5125.21776,01323.43107
5125.21778,01323.43103
5125.21781,01323.43101
5125.21786,01323.43100
5125.21789,01323.43104
5125.21792,01323.43108
5125.21795,01323.43112
5125.21797,01323.43116
5125.21799,01323.43121
5125.21802,01323.43126
5125.21805,01323.43126
5125.21808,01323.43124
5125.21812,01323.43119
5125.21816,01323.43118
5125.21820,01323.43117
5125.21822,01323.43117
5125.21824,01323.43116
5125.21826,01323.43115
5125.21831,01323.43125
5125.21833,01323.43131
5125.21837,01323.43137
5125.21842,01323.43140
5125.21847,01323.43143
5125.21851,01323.43144
5125.21858,01323.43131
5125.21864,01323.43119
5125.21870,01323.43108
5125.21878,01323.43101
5125.21884,01323.43095
5125.21887,01323.43095
5125.21890,01323.43097
5125.21893,01323.43099
5125.21895,01323.43101
5125.21897,01323.43101
5125.21902,01323.43100
5125.21904,01323.43101
5125.21914,01323.43105
5125.21921,01323.43108
5125.21925,01323.43110
5125.21928,01323.43119
5125.21931,01323.43123
5125.21934,01323.43127
5125.21937,01323.43129
5125.21941,01323.43131
5125.21947,01323.43134
5125.21948,01323.43141
5125.21950,01323.43144
5125.21955,01323.43147
5125.21966,01323.43151
5125.21975,01323.43156
5125.21980,01323.43153
5125.21983,01323.43148
5125.21987,01323.43148
5125.21992,01323.43145
5125.22000,01323.43145
5125.22005,01323.43150
5125.22008,01323.43154
5125.22013,01323.43157
5125.22018,01323.43159
5125.22021,01323.43160
5125.22026,01323.43162
5125.22035,01323.43168
5125.22047,01323.43166
5125.22056,01323.43163
5125.22056,01323.43163
5125.22056,01323.43164
5125.22058,01323.43166
5125.22061,01323.43167
5125.22063,01323.43173
5125.22063,01323.43178
5125.22064,01323.43177
5125.22066,01323.43179
5125.22068,01323.43178
5125.22067,01323.43176
5125.22066,01323.43177
5125.22067,01323.43176
5125.22099,01323.43188
5125.22120,01323.43188
5125.22128,01323.43171
5125.22129,01323.43154
5125.22126,01323.43136
5125.22113,01323.43125
5125.22103,01323.43113
5125.22093,01323.43107
5125.22087,01323.43096
5125.22090,01323.43074
5125.22080,01323.43067
5125.22074,01323.43056
5125.22068,01323.43055
5125.22051,01323.43051
5125.22052,01323.43039
5125.22053,01323.43034
5125.22053,01323.43030
5125.22058,01323.43024
5125.22049,01323.43023
5125.22048,01323.43018
5125.22046,01323.43015
5125.22043,01323.43013
5125.22039,01323.43007
5125.22030,01323.42993
5125.22027,01323.42994
5125.22025,01323.42993
5125.22017,01323.42985
5125.22015,01323.42988
5125.22013,01323.42988
5125.22010,01323.42987
5125.22010,01323.42994
5125.22005,01323.42995
5125.21996,01323.42986
5125.21994,01323.42978
5125.21991,01323.42978
5125.21990,01323.42983
5125.21989,01323.42991
5125.21982,01323.43003
5125.21977,01323.43015
5125.21964,01323.43037
5125.21976,01323.43043
5125.21966,01323.43062
5125.21962,01323.43074
5125.21959,01323.43087
5125.21959,01323.43094
5125.21954,01323.43096
5125.21953,01323.43099
5125.21947,01323.43100
5125.21933,01323.43107
5125.21924,01323.43117
5125.21915,01323.43123
5125.21911,01323.43127
5125.21902,01323.43133
5125.21904,01323.43133
5125.21906,01323.43131
5125.21903,01323.43133
5125.21900,01323.43131
5125.21895,01323.43131
5125.21894,01323.43127
5125.21893,01323.43126
5125.21893,01323.43125
5125.21888,01323.43124
5125.21888,01323.43125
5125.21890,01323.43122
5125.21888,01323.43120
5125.21893,01323.43123
5125.21893,01323.43121
5125.21891,01323.43117
5125.21888,01323.43113
5125.21888,01323.43112
5125.21888,01323.43113
5125.21894,01323.43117
5125.21901,01323.43124
5125.21907,01323.43132
5125.21912,01323.43139
5125.21917,01323.43147
5125.21922,01323.43158
5125.21928,01323.43165
5125.21934,01323.43176
5125.21942,01323.43190
5125.21956,01323.43223
5125.21963,01323.43253
5125.21967,01323.43256
5125.21974,01323.43258
5125.21977,01323.43260
5125.21980,01323.43261
5125.21980,01323.43257
5125.21980,01323.43254
5125.21981,01323.43250
5125.21980,01323.43247
5125.21983,01323.43232
5125.21984,01323.43223
5125.21984,01323.43242
5125.21985,01323.43260
5125.21994,01323.43249
5125.22003,01323.43252
5125.22010,01323.43250
5125.22017,01323.43250
5125.22023,01323.43252
5125.22073,01323.43285
5125.22091,01323.43299
5125.22094,01323.43310
5125.22103,01323.43320
5125.22106,01323.43322
5125.22107,01323.43320
5125.22108,01323.43319
5125.22107,01323.43315
5125.22108,01323.43314
5125.22107,01323.43313
5125.22108,01323.43308
5125.22109,01323.43307
5125.22106,01323.43303
5125.22103,01323.43301
5125.22101,01323.43297
5125.22098,01323.43290
5125.22095,01323.43281
5125.22094,01323.43272
5125.22090,01323.43262
5125.22099,01323.43250
5125.22094,01323.43247
5125.22091,01323.43246
5125.22092,01323.43243
5125.22088,01323.43243
5125.22087,01323.43244
5125.22083,01323.43246
5125.22081,01323.43250
5125.22079,01323.43251
5125.22076,01323.43249
5125.22075,01323.43244
5125.22075,01323.43238
5125.22075,01323.43235
5125.22074,01323.43233
5125.22075,01323.43231
5125.22072,01323.43230
5125.22069,01323.43228
5125.22066,01323.43227
5125.22067,01323.43227
5125.22065,01323.43227
5125.22058,01323.43220
5125.22057,01323.43220
5125.22055,01323.43218
5125.22052,01323.43217
5125.22050,01323.43219
5125.22046,01323.43219
5125.22045,01323.43218
5125.22036,01323.43220
5125.22033,01323.43216
5125.22027,01323.43212
5125.22021,01323.43206
5125.22017,01323.43204
5125.22012,01323.43201
5125.22007,01323.43199
5125.22003,01323.43197
5125.21996,01323.43195
5125.21992,01323.43194
5125.21986,01323.43192
5125.21981,01323.43192
5125.21978,01323.43191
5125.21974,01323.43190
5125.21965,01323.43186
5125.21961,01323.43184
5125.21959,01323.43190
5125.21957,01323.43191
5125.21953,01323.43191
5125.21947,01323.43183
5125.21942,01323.43176
5125.21940,01323.43176
5125.21938,01323.43181
5125.21935,01323.43185
5125.21934,01323.43192
5125.21934,01323.43202
5125.21932,01323.43210
5125.21931,01323.43215
5125.21932,01323.43220
5125.21931,01323.43227
5125.21933,01323.43234
5125.21922,01323.43247
5125.21920,01323.43254
5125.21920,01323.43266
